source,title,label
LIAR,wisconsins government accountability board ignored their duties and did not regularly audit voters to remove felons for a span of  elections,1
LIAR,the kochs stand to make around  billion if the government approves the keystone xl pipeline,0
LIAR,sayspatrick murphys pay more energy agenda means you could pay another  a year for your utility bills,0
POLITIFACT_REAL,uniform crime reports,1
LIAR,zero planned parenthood facilities are licensed to do mammograms planned parenthood women dont need you,1
LIAR,says women care most about jobs and the economy,1
GOSSIP_REAL,john mayer  more male celebs share their skincare favorites,1
LIAR,why didnt uninsured americans buy insurance because of the expense,1
LIAR,here in pennsylvania the annual cost for infant childcare is over  per child which is more than most families pay in rent and almost the same cost as instate college tuition,1
LIAR,says a congressional budget office report on spending by house democrats in the economic stimulus concluded it is just not stimulus it wont help the economy grow,0
LIAR,in  betty sutton voted to destroy medicare,0
GOSSIP_FAKE,jennifer aniston jets away after failing to rekindle with brad pitt  see the photos,0
GOSSIP_REAL,a christmas story live  things to look out for during the musical broadcast,1
GOSSIP_REAL,britney spears serenades jimmy fallon in ew sketch,1
LIAR,two elections in a row waukesha county clerk kathy nickolaus has screwed up counting the vote,0
GOSSIP_REAL,oprahs bff gayle king says presidential run in  is intriguing,1
GOSSIP_REAL,vma  lorde had the flu she performed anyway,1
GOSSIP_FAKE,matt damons publicist forced to deny reports actor is moving to australia because he cant stand donald trump,0
LIAR,says president barack obama promised he would cut the deficit in half but instead will at least double it,0
GOSSIP_REAL,find celebrities in la  celebrity hangouts in la,1
LIAR,fewer democrats were on the georgia general election ballot in  than in more than  years,1
GOSSIP_REAL,chris hardwick wiped from nerdist website he founded amid allegations by exgirlfriend,1
LIAR,says  children have lost their head start slots because of the sequester,0
LIAR,superdelegates have never been a determining factor in who our nominee is since theyve been in place since,1
GOSSIP_FAKE,angelina jolie is getting ready for expensive halloween party and brad pitt will be there,0
LIAR,republicans actually doctored emails between administration officials about benghazi then they released them to the press trying to pass them off as real,0
LIAR,says george washington said a free people should be armed to guard against government tyranny,0
GOSSIP_REAL,will ferrell explains why he sang whitney houston at usc,1
LIAR,a  fine if youre caught with a plastic bag coming out of a store plastic bag police anyone,0
GOSSIP_REAL,kendra duggar gives birth to first child with joseph duggar,1
POLITIFACT_REAL,senate democrats news conference on the senate climate action task force,1
GOSSIP_REAL,kaia gerber is already wearing this  spring  trend,1
LIAR,percent of republicans support the affordable care act,0
GOSSIP_REAL,new girl final season details  how lastminute renewal was clinched,1
POLITIFACT_FAKE,celebrities who say theyll move to canada if donald trump becomes president,0
LIAR,if you give guns to gangs you can get out of jail free if californias proposition  passes if you do a driveby shooting you can get out of jail free if proposition  passes if you discharge guns on a school yard you can get out of jail free,0
GOSSIP_REAL,wags tv series,1
LIAR,says president barack obama has not raised taxes,0
LIAR,barack hussein obama will  force christian schools to hire nonchristian teachers,0
GOSSIP_FAKE,inside scott disicks unique relationship with the kardashian family as kourtneys coparent on kardashians,0
GOSSIP_FAKE,pregnant irina shayk  bradley coopers mom gloria go food shopping together,0
GOSSIP_REAL,savannah guthrie talks hoda kotb replacing matt lauer something really lovely and positive has happened,1
GOSSIP_REAL,homeland season  finale recap auf wiedersehen,1
GOSSIP_REAL,drugstore cleansers that celebrities swear by,1
GOSSIP_FAKE,traitor kim kardashians family furious over meeting with donald trump,0
LIAR,says michael cargill was arrested and incarcerated in bell county,0
LIAR,says the stimulus bill sent tax credits overseas such as half a billion to an electric car company that created hundreds of jobs in finland,0
GOSSIP_FAKE,selena gomez debuted a new look on the ama red carpet and fans are shook,0
LIAR,say photographs of hillary clinton at the debate show what could be an earpiece,0
GOSSIP_REAL,jackson van de kamp,1
GOSSIP_REAL,critics notebook a crucial lesson from the golden globes for the emmys,1
GOSSIP_REAL,chadwick boseman surprised black panther fans and were so emotional right now,1
LIAR,the mccain campaign is roughly in the position where vice president gore was running against president bush one week before the election of,0
GOSSIP_FAKE,angelina jolie next love,0
GOSSIP_FAKE,kim kardashian slams surrogacy rumours calling them invasive,0
LIAR,about  percent of adults in rhode island and approximately  percent of youth ages  are considered obese,1
GOSSIP_REAL,timeless creator credits fans with resurrecting it  twice,1
GOSSIP_FAKE,kate winslets husband seeks to ban publication of partly naked photos,0
LIAR,the gun epidemic is the leading cause of death of young africanamerican men more than the next nine causes put together,1
LIAR,says she is a registered nurse,0
LIAR,says broken compact fluorescent light bulbs allegedly cause migraines and epilepsy attacks,0
GOSSIP_REAL,the latest revenge news and revenge spoilers collected from  sources at revenge headlinerorg,1
LIAR,says daniel webster thinks wives should submit to their husbands,0
LIAR,wisconsin gov scott walkers estimate of a  billion state budget deficit is manufactured and a bogus figure,0
GOSSIP_FAKE,gwen stefani finding the inspiration to have another baby from janet jackson is the story true find out what gossip cop has to say about it  married biography,0
GOSSIP_REAL,simpsons creator matt groenings new animated netflix series get a first look,1
LIAR,says mitt romney belittled middleclass tax cuts as nothing more than little bandaids,0
GOSSIP_REAL,things you need to know about taylor swifts new boyfriend joe alwyn,1
GOSSIP_REAL,johnny depp says exmanagers are to blame for m debt,1
LIAR,the federal government is going after school districts trying to force them to let boys shower with little girls,0
GOSSIP_REAL,mindy kaling walks first red carpet since pregnancy news photos,1
GOSSIP_FAKE,liam hemsworth miley cyrus engaged couple reportedly having a secret wedding in australia after christmas,0
LIAR,obamacare means that for up to  million americans they will lose the insurance they currently have the insurance that they like and they want to keep,0
LIAR,statistics show  to  texas women per week have major complications and  women per week seek help at an er after an abortion,0
GOSSIP_REAL,luxembourgs first gentleman poses with spouses of other world leaders,1
GOSSIP_FAKE,brad pitts near breakdown,0
GOSSIP_FAKE,kris jenner and corey gamble party in monaco  see the photos,0
GOSSIP_REAL,fredrik eklund on his friendship with bethenny frankel i feel like im married to her,1
GOSSIP_REAL,nina dobrev nails prisonerchic in an orange bomber jacket,1
LIAR,says for the first time ever texas lawmakers are not funding student population growth,1
LIAR,in the last  months businesses have created more than  million jobs last year they created the most jobs since,1
GOSSIP_REAL,jimmy kimmel,1
GOSSIP_FAKE,kim kardashian has rib removed to look thinner,0
LIAR,says bill white profiteered in the aftermath of hurricane rita,0
LIAR,with recent growth it is very clear that privatesector jobs have been doing fine,0
LIAR,says when rhode island lottery was proposed state residents were enticed to vote for it with the promise that the money would be used for education,0
GOSSIP_REAL,ann curry breaks silence on matt lauer im not surprised by the allegations,1
LIAR,when the republicans were in charge they actually expanded government health care with the prescription drug program,1
LIAR,floridians are able to vote  but their governor wont tell them,0
LIAR,scott walker has given a  tax deduction to millionaires who send their kids to exclusive private schools,0
GOSSIP_FAKE,miley cyrus and liam hemsworth are shopping for cribs,0
LIAR,thirty us cities have triple a baseball teams and virtually everyone of them is playing in government owned ballparks,1
LIAR,says joseph stalin said if you want to bring america down you have to undermine three things our spiritual life our patriotism and our morality,0
LIAR,says that the state spends more money on tax giveaways than it receives in tax collection,1
LIAR,seventy percent of missourians support voter photo id legislation,1
GOSSIP_REAL,caitlyn jenner trump relentlessly attacking trans people,1
GOSSIP_REAL,jodie whittaker named the first female doctor who,1
GOSSIP_REAL,dylan sprouse responds to allegations he cheated on dayna frazer,1
GOSSIP_REAL,brad pitt and angelina jolie a timeline of their relationship,1
GOSSIP_FAKE,the songs on taylor swifts album that definitely diss kanye and kim,0
POLITIFACT_FAKE,national guard storms mexico border makes gamechanging impact in just  days,0
LIAR,says lincoln chafee settled a union strike by giving the teachers a percentraise,1
LIAR,rick scott tried to slash school funding by  billion,1
LIAR,if every small business in our state on average was able to create one new job we would cut our unemployment rate in half,1
GOSSIP_FAKE,ben affleck  jennifer lopez back together,0
GOSSIP_REAL,what is jessica capshaw doing after greys anatomy arizona fans could see her on jane the virgin,1
LIAR,we had an amendment in the health care law that said the federal government is going to take over education,0
GOSSIP_FAKE,how kate middleton spoils prince william on his birthday,0
GOSSIP_REAL,simple english wikipedia the free encyclopedia,1
GOSSIP_REAL,john cena introduces a new reindeer in jimmy fallons holidaythemed mad lib theater,1
GOSSIP_FAKE,beyonce blasts kim kardashian with diss track lyrics,0
LIAR,hobby lobby provided this birth control coverage before they decided to drop it to file suit,1
GOSSIP_FAKE,liam hemsworth to miley cyrus ditch drugs  or were done,0
GOSSIP_FAKE,why serena williamss husband knew she would be a great mother,0
GOSSIP_REAL,fifth child on the way for james van der beek,1
GOSSIP_FAKE,meghan markle is a total bridezilla report,0
GOSSIP_REAL,kim kardashian defends dressing north in a corset dress,1
LIAR,democrats plan to keep student loan interest rates low by raising taxes on small businesses very small businesses the kinds of small businesses that give jobs to graduates,0
LIAR,seniors enrolled in medicare advantage are going to see an average premium increase between  and  per month,0
GOSSIP_FAKE,angelina jolie   jennifer aniston did not have facetoface meeting facetoface meeting despite report,0
LIAR,chile ranks third internationally in economic freedom while the us ranks th,0
GOSSIP_FAKE,sure kate middleton looks great  but lets talk about what giving birth really does to womens bodies,0
GOSSIP_FAKE,grading president trump,0
GOSSIP_REAL,rachel blooms crazy exgirlfriend salary is making us raise our eyebrows,1
GOSSIP_REAL,kesha admits she hated herself before seeking help for her eating disorder,1
GOSSIP_REAL,kourtney kardashians boyfriend younes bendjima shades her hot booty pic,1
LIAR,gov scott walker is helping pay for the criminal defense of a man accused of boy rape,0
GOSSIP_FAKE,selena gomez is seen with same mystery man from may,0
LIAR,since  only  cases of inperson voter fraud have been proven nationally,1
LIAR,over the last several months there was a review board headed by two distinguished americans mike mullen and tom pickering who investigated every element of the benghazi incident,0
LIAR,with obamacareyou have no options you cant get competitive bidding,0
GOSSIP_REAL,farrah abraham joins mtvs ex on the beach less than a year after leaving teen mom,1
GOSSIP_REAL,video pitbull talks about women and who some of his favourite ladies are  z,1
GOSSIP_REAL,jessica biel motherhood informed my role in the sinner,1
LIAR,with obamacare were fixing to get hit with the biggest entitlement program the american taxpayers have ever seen,0
GOSSIP_FAKE,kanye west net worth is mr west almost a billionaire,0
GOSSIP_REAL,hollywood flocks to wyoming for kanye wests secret album listening party,1
LIAR,if you look at the jobs lost in the private sector as opposed to the job gains in the public sector its out of whack the governments growing and the private economys shrinking,1
LIAR,barack obamas health care plan will cost taxpayers  more to cover each new person,0
LIAR,under donald trumps tax plan the top  percent of taxpayers  people earning multiple millions of dollars a year on average  would get more tax relief than the bottom  percent of taxpayers combined,1
LIAR,welders make more money than philosophers,0
LIAR,says common core is a federal mandate,0
GOSSIP_REAL,ready player one your ultimate guide to all the popculture references,1
LIAR,on whether bps  billion fund to compensate oil spill victims is a slush fund,0
GOSSIP_REAL,all  spice girls reunite in epic photo,1
GOSSIP_FAKE,why taylor swift and selena gomezs friendship is stronger than ever,0
LIAR,times barack obama said he did not have the authority to implement this type of antideportation measure and then the day after he signed this into law he said quote i just changed the law,1
LIAR,says obama sent  million to china to build a wind farm in texas,0
LIAR,says did you know that the keystonexl project is expected to create  american jobs including more than  in oregon,0
GOSSIP_FAKE,judd apatow slams quentin tarantino for harvey silence,0
LIAR,in the last decade the average income of the bottom  percent of all working americans actually declined the top  percent saw their income rise by an average of more than a quarter of a million dollars each,1
LIAR,i want to freeze interest rates for five years,1
LIAR,the stimulus program cut taxes for  percent of the american people,1
GOSSIP_REAL,caitlyn jenner is disappointed at kylies pregnancy,1
LIAR,says he fought against  billion in cuts to public education since,1
LIAR,i fought hard for that state senate seat i only lost by four points i raised over,0
GOSSIP_REAL,here are all the performers  presenters for the  billboard music awards,1
LIAR,we are imprisoning or giving jail sentences to young people who are smoking marijuana,0
GOSSIP_REAL,kate hudson reveals how romance with danny fujikawa began,1
GOSSIP_REAL,missy franklin in the news at regis jesuit high school,1
GOSSIP_REAL,young dumbledore grindelwald star in new fantastic beasts sequel photos,1
GOSSIP_REAL,emma watson asks fans to help find meaningful rings she lost in london spa,1
LIAR,under wisconsin law anyone who knows anything about a john doe secret criminal investigation cant talk about it,1
GOSSIP_FAKE,oscar wins stardom and rehab elle fanning and  other child stars  then and now,0
LIAR,obama has been sending taxpayer dollars at least  to fund antilikud antinetanyahu groups in israelfor the election,0
LIAR,buono voted  times to raise our taxes  like the sales tax the income tax health care taxes even small business taxes,1
GOSSIP_FAKE,gwen stefani admits vegas residency is the end of her musical journey settling down with blake,0
LIAR,says  percent of marriages now wind up in divorce,0
GOSSIP_FAKE,george clooney plans to move amal and twins back to la for security reasons exclusive,0
GOSSIP_FAKE,what brad pitt wants to date jennifer lawrence to make angelina jolie jealous,0
GOSSIP_REAL,adam driver surprises military family with scholarship,1
GOSSIP_REAL,the royals elizabeth hurley nearly flashes nipple in supersexy braless instagram pic on the royals,1
GOSSIP_FAKE,what brad pitt is smitten by a young angelina jolielookalike,0
GOSSIP_REAL,fit model sarah stage is  months pregnant still has sixpack abs,1
GOSSIP_REAL,serena williams reveals why she told pal and momtobe meghan markle to stop being so nice,1
LIAR,woonsocket needs a garbageburning power plant because residents are paying through the nose for electricity thats fueled by foreign oil at prices that are skyrocketing,0
GOSSIP_REAL,kylie jenner reveals newborn daughters name  see the sweet pic,1
POLITIFACT_REAL,rd democratic debate transcript annotated who said what and what it meant,1
GOSSIP_REAL,john travoltas gotti biopic pulled  days before release,1
LIAR,it is truethat we know that isis is present in ciudad juarez mexico,0
GOSSIP_REAL,miley cyrus announces  billboard music awards performance teases malibu song  video,1
GOSSIP_FAKE,matthew perry actor producer director,0
GOSSIP_REAL,the way ariana grande song,1
GOSSIP_REAL,greys anatomy  dark behindthescenes secrets you had no idea about,1
LIAR,who can you thank for rising prices at the pump obama obama,0
GOSSIP_FAKE,selena gomez reveals she had a kidney transplant,0
GOSSIP_FAKE,meg ryan may walk down the aisle again as john mellencamp is planning to propose,0
LIAR,says marco rubio voted to deport young people known as dreamers,0
LIAR,over  years ago the united states had declared war on islam and thomas jefferson led the charge,0
GOSSIP_FAKE,miranda lambert and blake shelton reportedly still hate each other according to ok,0
GOSSIP_REAL,from hurt to healed every photo of carrie underwood since her accident,1
GOSSIP_FAKE,celebrities react to john hurts death,0
LIAR,the top  percent pay over half of the entire revenue for this country,0
POLITIFACT_FAKE,oscar pistorius attempts to commit suicide,0
GOSSIP_FAKE,scott disick writing kardashian tellall to expose kims strained marriage to kanye west kourtney secrets,0
LIAR,i have a very conservative voting record,1
GOSSIP_REAL,katy perrys fan arrested for allegedly stalking the singer during her tour,1
GOSSIP_FAKE,bitter blood kim kardashian in a jealous rage over jennifer lawrence,0
GOSSIP_FAKE,conway politicizing texas shooting disrespectful to the dead,0
POLITIFACT_FAKE,the daily shows michelle wolf lands her own netflix latenight show exclusive,0
LIAR,we have right now hezbollah which is working throughout latin america in venezuela in mexico throughout latin america which poses a very significant and imminent threat to the united states of america,0
GOSSIP_REAL,eyeopeners from gwyneth paltrow  goops the sex issue,1
GOSSIP_FAKE,matt damon legit cant stand ben afflecks new girlfriend,0
GOSSIP_FAKE,angelina jolie is cold and will smith fake nice,0
GOSSIP_FAKE,amber heard talks for first time about marriage to johnny depp,0
GOSSIP_REAL,malin akerman is engaged to sweet and loving boyfriend jack donnelly he stole my heart,1
POLITIFACT_REAL,remarks by the president on increasing oversight on manipulation in oil markets,1
LIAR,sometime in the next decade there will be more latinos in the state of texas than there are anglos that will happen sometime in the next five to eight to ten years,1
GOSSIP_REAL,kim kardashian predicted kylie jenner would be a young mother,1
GOSSIP_FAKE,michael phelps returning to swimming the best celebrity aprils fool day jokes,0
GOSSIP_FAKE,kim kardashian supporting khloes decision not to involve caitlyn in her childs life is fake news debunked,0
GOSSIP_FAKE,george clooney wants to quit acting for this reason,0
LIAR,millions could lose their health care coverage and be forced into a government pool under the new health care law,0
GOSSIP_REAL,the real housewives of new jersey tease the best fight in housewives history,1
GOSSIP_REAL,hilarious parodies of taylor swifts lwymmd music video,1
GOSSIP_REAL,kendall jenner gets animated at blake griffins basketball game,1
LIAR,youth unemployment is through the roof,0
GOSSIP_REAL,beyonce  kim kardashian met up at serena williams wedding for first time since family fallout,1
GOSSIP_FAKE,kim kardashian explains why she didnt invite surrogate to baby shower,0
GOSSIP_FAKE,kim kardashian disgusted by scott disicks desperate revenge on sister kourtney,0
LIAR,part of his ride was to warn the british that were already there that hey youre not going to succeed,0
LIAR,a threecentsperounce soda tax in philadelphia would result in the loss of  familysustaining teamster union jobs and countless other jobs in the beverage industry,0
LIAR,says marco rubio believes the earth is  years old and that humans hunted dinosaurs to extinction says rand paul believes the earth is  years old and god removed dinosaurs to make space for humans,0
LIAR,palin stopped the bridge to nowhere,0
LIAR,says hillary clinton wrotei believe the primary role of the state is to teach train and raise children parents have a secondary role,0
POLITIFACT_REAL,raw data dick cheneys remarks to the center for security policy,1
LIAR,gov rick scott backed the federal shutdown,0
GOSSIP_REAL,pink shares her silver lining in ongoing harvey weinstein misconduct scandal,1
GOSSIP_FAKE,lady gaga  christian carino wedding plans revealed,0
GOSSIP_FAKE,baftas winners list,0
LIAR,each corbett administration budget finished in the black,1
LIAR,voted the best specialty plate in america,0
GOSSIP_REAL,watch amelia has a brain tumor video,1
LIAR,lowflow toilets can cost homeowners up to  each,1
GOSSIP_FAKE,miranda kerr and snapchat ceo evan spiegel are engaged check out her dazzling diamond ring,0
LIAR,this is the worst jobs recovery since the great depression,0
GOSSIP_FAKE,caitlyn jenner may detransition back to bruce after suffering from sex change regret,0
GOSSIP_REAL,guardians of the galaxy vol  cast play guess the guardian on jimmy kimmel live,1
GOSSIP_FAKE,kim kardashian tells sister kourtney that nobody wants her around  that shes not exciting to look at,0
LIAR,under obamacare  percent of small businesses now say they are going to be forced to either fire workers or cut their hours,0
GOSSIP_FAKE,is kendall jenner really at war with emily ratajkowski,0
GOSSIP_REAL,inside channing tatum and jenna dewans make or break holiday,1
LIAR,says donald trump has been talking about the option of using a nuclear weapon against our western european allies,0
LIAR,our larger domestic threat is from racial supremacist groups,0
GOSSIP_FAKE,chris martin planning to play argentina for global citizen campaign,0
LIAR,the department of energys billion ton study has shown that wind and solar energy combined could at best provide only  percent of our total energy needs,0
LIAR,over the time that president obama has been in office we have lost  million free enterprise system jobs and yet  federal government jobs have been added,0
